,user,date,text,favorite_count,label
39,heartteachmind,Tue Dec 03 12:54:57 +0000 2019,This wonderful woman is #DezNat and she doesn’t know it. https://t.co/MPuJpGG3Tk,1,neutral
70,jonryanjensen,Tue Dec 03 01:13:20 +0000 2019,@NorthSouthwick @sventhelost @PaulJohnstun @ChurchNewsroom #deznat never wins.,1,neutral
61,FlynnHutchison,Tue Dec 03 05:12:09 +0000 2019,"@shayla_who As places where heaven touches the earth, temples are sacred and important, and exquisitely furnishing… https://t.co/j8qHONo6RB",1,neutral
58,MormonsShit,Tue Dec 03 05:57:43 +0000 2019,"Oh shit 
•
•
#lds #latterdaysaints #mormon #ldschurch #exmo #deznat https://t.co/1goWFVVVLg",1,neutral
71,NorthSouthwick,Tue Dec 03 01:09:33 +0000 2019,"@sventhelost @PaulJohnstun @ChurchNewsroom One just cannot say ""I claim assylum"" and autmatically get in. Even asyl… https://t.co/UVshRKHbjS",1,neutral
79,NancyLClay,Mon Dec 02 22:19:08 +0000 2019,"@Mothersdream What does #DezNat represent? When I look it up, it appears to be an alt-right cult.",1,neutral
78,mormonstoner,Mon Dec 02 22:43:56 +0000 2019,"Well this was a curveball
#LdZion #Deznat https://t.co/fakCeWj3n1",1,neutral
52,Mothersdream,Tue Dec 03 06:44:22 +0000 2019,"@BackFromThat @NancyLClay This is what she asked me.  “What does #DezNat represent? When I look it up, it appears t… https://t.co/xZJUWWCJqq",1,neutral
90,StJohn724,Mon Dec 02 20:33:09 +0000 2019,"RT @TheDMT1232: #LightTheWorld Day 2 

There are a number of patriarchs that I'm able to look to as examples of strength and faithfulness -…",0,neutral
84,Bro_TheCat,Mon Dec 02 22:01:46 +0000 2019,"RT @kankokage: Very poorly. The temple is worth every dime, and we should never consecrate shabbiness to the Lord. Cain tried that already,…",0,neutral
81,COL_James83,Mon Dec 02 22:06:04 +0000 2019,"RT @TheDMT1232: Finishing up some college courses today and for some reason, I thought of the Block #DezNat list when I read about ""Skilled…",0,neutral
80,Maalla00396018,Mon Dec 02 22:09:50 +0000 2019,"RT @SisterBellum: “I am ALPHA AND OMEGA, the beginning and the ending, saith the Lord""
     ~Revelation 1:8

#ChurchofJesusChrist
#Lightthe…",0,neutral
72,ReincarnatedJo1,Tue Dec 03 00:22:44 +0000 2019,"DC 139:1 (new modern edition)
OH hearken ye! If you want to prevent illusion and a mind full of beliefs. Than STOP… https://t.co/jri88nI3mJ",0,neutral
82,GuardofDeseret,Mon Dec 02 22:05:12 +0000 2019,"RT @SisterBellum: “I am ALPHA AND OMEGA, the beginning and the ending, saith the Lord""
     ~Revelation 1:8

#ChurchofJesusChrist
#Lightthe…",0,neutral
95,shirt_movement,Mon Dec 02 20:00:52 +0000 2019,"RT @TheTrueAggie: She doesn't care about the use of tithing or even poor people, she's just a commie who hates the church

#DezNat https://…",0,neutral
97,JPBellum,Mon Dec 02 19:39:21 +0000 2019,"RT @TheTrueAggie: She doesn't care about the use of tithing or even poor people, she's just a commie who hates the church

#DezNat https://…",0,neutral
86,SLCNotUtah2,Mon Dec 02 20:59:05 +0000 2019,"RT @TheTrueAggie: She doesn't care about the use of tithing or even poor people, she's just a commie who hates the church

#DezNat https://…",0,neutral
89,shirt_movement,Mon Dec 02 20:41:28 +0000 2019,"RT @TheDMT1232: #LightTheWorld Day 2 

There are a number of patriarchs that I'm able to look to as examples of strength and faithfulness -…",0,neutral
93,LDSApologian,Mon Dec 02 20:10:19 +0000 2019,"The Christ Child: A Nativity Story
https://t.co/npdU83CtD4
#mormon #mormonism #twitterstake #lds #DezNat #ChurchofJesusChrist",0,neutral
76,larknap,Mon Dec 02 22:56:35 +0000 2019,"RT @TheDMT1232: #LightTheWorld Day 2 

There are a number of patriarchs that I'm able to look to as examples of strength and faithfulness -…",0,neutral
74,magjoy12,Mon Dec 02 23:30:15 +0000 2019,"RT @SisterBellum: “I am ALPHA AND OMEGA, the beginning and the ending, saith the Lord""
     ~Revelation 1:8

#ChurchofJesusChrist
#Lightthe…",0,neutral
91,taketh_note,Mon Dec 02 20:31:48 +0000 2019,"RT @TheDMT1232: #LightTheWorld Day 2 

There are a number of patriarchs that I'm able to look to as examples of strength and faithfulness -…",0,neutral
0,lepetitete,Tue Dec 03 23:53:20 +0000 2019,RT @JPBellum: Is there anything you now own that wasn’t already handed down to you that you would be surprised/pleased to know your great-g…,0,neutral
69,TheDMT1232,Tue Dec 03 01:36:41 +0000 2019,"RT @BackFromThat: No one:

#DezNat:

I have had it up to

High-------
--------------
-------------- &lt;--------
--------------
--------------…",0,neutral
30,GuardofDeseret,Tue Dec 03 14:54:34 +0000 2019,"RT @JReubenCIark: LMAO Merry Christmas from the self-parodying progmos at BCC.

""I guess it's good to give things away to poor people but w…",0,neutral
3,TheDMT1232,Tue Dec 03 22:20:19 +0000 2019,"RT @wardpreacher: Some folks are a bit protective of their pew... Enjoy a bit of satire!

#DezNat #ChurchOfJesusChrist
 https://t.co/6UoXV3…",0,neutral
5,shirt_movement,Tue Dec 03 21:50:08 +0000 2019,RT @JPBellum: Is there anything you now own that wasn’t already handed down to you that you would be surprised/pleased to know your great-g…,0,neutral
8,attilahen89,Tue Dec 03 21:33:06 +0000 2019,Great talk today at BYU-Idaho's devotional by Brian Merrill #DezNat https://t.co/cnnnZXk3sp,0,neutral
9,SchizoidenMann,Tue Dec 03 21:18:18 +0000 2019,"If you missed out on the incredible Geissele Automatics sales this past weekend, go see your bishop. #DezNat",0,neutral
13,1WeAreSoldiers1,Tue Dec 03 20:05:32 +0000 2019,"We are watching this prophecy unfold before our eyes

#WWG1WGA   #MAGA   #KAG   #DezNat 

https://t.co/ITWjT8BEHD via @YouTube",0,neutral
14,MormonsShit,Tue Dec 03 19:41:09 +0000 2019,"My news feed is blowing up! Turns out you can only #LightTheWorld if you’re #mormon
•
#lds #latterdaysaints… https://t.co/7K1COToRbA",0,neutral
15,JPBellum,Tue Dec 03 19:36:22 +0000 2019,"RT @wardpreacher: Some folks are a bit protective of their pew... Enjoy a bit of satire!

#DezNat #ChurchOfJesusChrist
 https://t.co/6UoXV3…",0,neutral
17,NorthSouthwick,Tue Dec 03 19:24:37 +0000 2019,"RT @kankokage: #DezNat Reply Guide:

“I have doubts” -&gt; let’s talk about it

“I’m heartbroken” -&gt; let’s talk about it

“I don’t understand”…",0,neutral
20,StJohn724,Tue Dec 03 17:52:03 +0000 2019,"RT @Mormonius2: @JanessaTaylor20 @theshizzy777 @ZachBrimhall @Neil10790465 @StJohn724 She loves ""Mormonism."" That's why she:
-Changed the w…",0,neutral
26,camp_zion,Tue Dec 03 16:20:11 +0000 2019,RT @AriseThresh: Inb4 some Mormon feminist defends priestcraft as the only culturally legitimate expression of priestly power Latter-day Sa…,0,neutral
29,ZoomerBattalion,Tue Dec 03 15:41:58 +0000 2019,RT @JPBellum: Only 2018 #DezNat kids will remember. https://t.co/stN30Nr5x1,0,neutral
31,MaryHDo,Tue Dec 03 14:39:27 +0000 2019,RT @SiblingsinZion: ... just learned what #deznat is. It's like discovering there are a bunch of alt-right Santa worshipers. Unbelievable.,0,neutral
57,Phillip4365,Tue Dec 03 06:09:58 +0000 2019,"RT @kankokage: Very poorly. The temple is worth every dime, and we should never consecrate shabbiness to the Lord. Cain tried that already,…",0,neutral
32,MormonRifter,Tue Dec 03 14:16:21 +0000 2019,"RT @BozyHasman: A super short #DezNat thread about this week’s #comefollowme:
1 Pet. 2:9 calls saints “a chosen generation... a peculiar pe…",0,neutral
33,MilitantMormon,Tue Dec 03 13:57:38 +0000 2019,RT @JPBellum: Only 2018 #DezNat kids will remember. https://t.co/stN30Nr5x1,0,neutral
34,JPBellum,Tue Dec 03 13:28:02 +0000 2019,"RT @LatterdayDoofus: ""There is no happiness without service, and there is no greater service than that which converts the home into a divin…",0,neutral
35,camp_zion,Tue Dec 03 13:15:39 +0000 2019,"RT @JReubenCIark: LMAO Merry Christmas from the self-parodying progmos at BCC.

""I guess it's good to give things away to poor people but w…",0,neutral
38,YMCM77592104,Tue Dec 03 13:01:16 +0000 2019,"RT @ApostolicKeys: Even during these difficult times, members “armed with righteousness” can do so many things.We can have love at home, ev…",0,neutral
42,MaxwellNealA,Tue Dec 03 10:51:54 +0000 2019,"RT @ApostolicKeys: Even during these difficult times, members “armed with righteousness” can do so many things.We can have love at home, ev…",0,neutral
44,MaxwellNealA,Tue Dec 03 10:43:55 +0000 2019,"RT @ApostolicKeys: “it is one thing to notice strong ocean breakers crashing against the shore, heralding another oncoming storm, and quite…",0,neutral
47,BackHoodOne,Tue Dec 03 10:05:05 +0000 2019,"There seems to be a major sex abuse controversy regarding #JWOrg, maybe #DezNat can do something about it with thei… https://t.co/cm0iTjW8Jr",0,neutral
1,shirt_movement,Tue Dec 03 22:59:24 +0000 2019,"RT @Matthew_7_14: Got the text from #LightTheWorld to go donate blood, so I took an early lunch.

#DezNat https://t.co/At7JOpwuV1",0,neutral
51,scotthoward,Tue Dec 03 06:51:23 +0000 2019,"@OfSifter @magjoy12 Man, I’m going to say it...you’re the only #DezNat stormtrooper that has a heart. There’s hope for you yet. Finn?",0,neutral
56,NateFNP,Tue Dec 03 06:11:23 +0000 2019,RT @JPBellum: “There are those in this Church who calculate to be saved by the righteousness of others. They will miss their mark...I forew…,0,neutral
50,dazbullshit,Tue Dec 03 07:10:13 +0000 2019,#DezNat Fight me. no balls you won't,0,neutral
